State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Strata_ID_Number,Strata_Determining_Factors,Number_Counties,Population_Size,Population_Density,ALE,All_Death,Health_Status,Unhealthy_Days,Poverty,Age_19_Under,Age_19_64,Age_65_84,Age_85_and_Over,White,Black,Native_American,Asian,Hispanic
1,1,Autauga,Alabama,AL,29,"frontier status, population size, poverty, age",37,48612,82,74.9,1041.5,21.8,7.5,10.4,26.9,62.3,9.8,0.9,80.7,17.3,0.5,0.6,1.7
1,3,Baldwin,Alabama,AL,16,"frontier status, population size, poverty, age",27,162586,102,76.6,856.9,15.4,6.7,10.2,23.5,60.3,14.5,1.8,88.4,9.9,0.5,0.4,2.3
1,9,Blount,Alabama,AL,28,"frontier status, population size, poverty, age",39,55725,86,76.1,954.2,25.8,7.9,11.9,24.5,62.1,12.1,1.3,97.1,1.5,0.5,0.2,6.3
1,13,Butler,Alabama,AL,76,"frontier status, population size, poverty, age, population density",38,20766,27,73,1084.2,21.6,6.9,20,25.6,58.5,13.6,2.4,57.5,41.9,0.2,0.3,0.9
1,15,Calhoun,Alabama,AL,6,"frontier status, population size, poverty",53,112141,184,73.1,1100.3,26.7,8,16.4,24.1,61.6,12.7,1.5,78.3,19.7,0.4,0.8,2
1,17,Chambers,Alabama,AL,50,"frontier status, population size, poverty, age, population density",27,35460,59,73.8,1075.6,32.3,7.9,16.2,24.8,59.5,13.5,2.2,60.8,38.6,0.1,0.2,1.2
1,21,Chilton,Alabama,AL,32,"frontier status, population size, poverty, age",37,41744,60,74.1,1040.4,26,9.7,14.9,25,62.6,11.3,1.2,88.3,10.5,0.3,0.4,3.7
1,31,Coffee,Alabama,AL,32,"frontier status, population size, poverty, age",37,45567,67,75.9,923.6,19.1,7.1,13.7,24.5,61.1,12.9,1.5,77.9,18.5,0.9,1.2,3.2
1,33,Colbert,Alabama,AL,21,"frontier status, population size, poverty, age",44,54660,92,75.3,964.4,20.3,5.6,14,23,60.9,14,2,81.9,16.7,0.4,0.3,1.3
1,35,Conecuh,Alabama,AL,75,"frontier status, population size, poverty, age, population density",37,13257,16,73,1093.6,19.1,7.4,22,25.3,59.3,13.4,2.1,55.3,44.1,0.2,0.1,0.9
1,37,Coosa,Alabama,AL,41,"frontier status, population size, poverty, age",47,11162,17,74.9,909.2,18.3,4.9,13.4,23.2,61.2,13.8,1.8,67.6,31.6,0.3,0.1,1.5
1,39,Covington,Alabama,AL,35,"frontier status, population size, poverty, age",27,37003,36,74.7,999.7,22,5.2,17.5,23.4,58.7,15.5,2.5,86.1,12.6,0.5,0.3,0.9
1,43,Cullman,Alabama,AL,21,"frontier status, population size, poverty, age",44,79886,108,75.3,1028.7,23.8,8.2,13.3,23.9,61.3,13.3,1.5,97.3,1.2,0.4,0.3,3.1
1,45,Dale,Alabama,AL,33,"frontier status, population size, poverty, age",41,48748,87,75.5,987.4,23.9,5.8,15.8,27.7,59.4,11.8,1.2,75.5,20.9,0.5,1.3,3.2
1,47,Dallas,Alabama,AL,52,"frontier status, population size, poverty, age, population density",40,44366,45,72.1,1136,25.1,7,25,29,57.4,12.1,1.5,32.4,66.9,0.1,0.3,0.6
1,49,DeKalb,Alabama,AL,24,"frontier status, population size, poverty, age",35,67271,86,75.1,960.6,22,7.2,15.1,25,61.2,12.3,1.6,96,1.8,0.8,0.3,8.8
1,51,Elmore,Alabama,AL,19,"frontier status, population size, poverty, age",37,73937,119,75.2,946.9,15.1,5.8,12.5,25.1,64,9.8,1.2,77.3,20.7,0.4,0.5,1.7
1,53,Escambia,Alabama,AL,51,"frontier status, population size, poverty, age, population density",33,38082,40,73.2,1042.6,31.2,7.5,18.6,24.4,61.4,12.5,1.7,64.3,31.7,2.9,0.3,1
1,55,Etowah,Alabama,AL,6,"frontier status, population size, poverty",53,103189,193,73.5,1091.5,24.1,8,15.7,24,60.3,13.9,1.8,83.8,14.6,0.3,0.5,2.4
1,57,Fayette,Alabama,AL,63,"frontier status, population size, poverty, age, population density",32,18228,29,73.9,979.6,32.7,10,16.1,23.5,60.4,13.6,2.4,87.4,11.8,0.2,0.3,0.9
1,61,Geneva,Alabama,AL,64,"frontier status, population size, poverty, age, population density",41,25735,45,74.7,984.9,25.6,6.3,17.6,22.9,59.9,15.1,2.1,87.8,10.8,0.7,0.2,2
1,69,Houston,Alabama,AL,23,"frontier status, population size, poverty, age",37,94249,162,75.7,905,21.9,6.9,15.3,25.9,60.2,12.1,1.8,72.2,25.9,0.4,0.7,1.6
1,71,Jackson,Alabama,AL,22,"frontier status, population size, poverty, age",28,53650,50,74.5,1027.6,22.6,7.4,14.5,23.7,61.7,13.1,1.5,92.6,3.8,1.6,0.3,1.6
1,73,Jefferson,Alabama,AL,3,"frontier status, population size, poverty",39,657229,591,73.6,1034.5,17.7,6.3,14.4,25.2,61.4,11.7,1.7,56.8,41.2,0.2,1.1,2.3
1,77,Lauderdale,Alabama,AL,21,"frontier status, population size, poverty, age",44,87691,131,76.4,910.9,23.4,7.4,15.6,22.9,61.2,14.3,1.7,88.9,9.7,0.3,0.4,1.2
1,79,Lawrence,Alabama,AL,32,"frontier status, population size, poverty, age",37,34605,50,74.3,1054.1,28.8,7.5,14.4,24.6,62.7,11.5,1.2,79.5,12.1,5.4,0.1,1.4
1,81,Lee,Alabama,AL,22,"frontier status, population size, poverty, age",28,123254,202,75.3,983.4,16.6,6.1,15.1,25.1,66.5,7.6,0.9,74.1,23,0.2,1.8,1.6
1,83,Limestone,Alabama,AL,19,"frontier status, population size, poverty, age",37,70469,124,75.5,964.4,18,7.7,11.8,24.1,64.2,10.5,1.1,85.1,13.2,0.5,0.5,3.3
1,87,Macon,Alabama,AL,44,"frontier status, population size, poverty, age",33,22810,37,71.9,1091.8,22.8,5.5,25.8,27,58.6,12.4,2,15.7,82.8,0.1,0.9,1
1,89,Madison,Alabama,AL,4,"frontier status, population size, poverty",25,298192,370,76.1,905.8,13.7,6.3,10.9,25.5,62.5,10.9,1.1,71.7,23.5,0.8,2.1,2.2
1,93,Marion,Alabama,AL,49,"frontier status, population size, poverty, age, population density",35,30154,41,73.9,999.8,27.7,6.4,16.8,22.4,60.7,14.8,2.2,95,3.9,0.3,0.2,1.5
1,95,Marshall,Alabama,AL,22,"frontier status, population size, poverty, age",28,85634,151,73.9,1066.2,22.5,8.2,15.2,25.7,60.4,12.5,1.4,96.6,1.6,0.5,0.4,8.5
1,97,Mobile,Alabama,AL,5,"frontier status, population size, poverty",25,401427,326,73.5,1030.7,19.2,7,18.5,27.6,60.3,10.8,1.3,62.2,34.5,0.7,1.6,1.3
1,99,Monroe,Alabama,AL,67,"frontier status, population size, poverty, age, population density",31,23733,23,74.7,957.4,11.7,6.5,17.7,27.4,58.4,12.3,1.9,57,41,1,0.3,0.8
1,101,Montgomery,Alabama,AL,7,"frontier status, population size, poverty",33,221619,281,74.6,974,16.3,6,18,27.3,60.9,10.3,1.5,45.1,52.5,0.2,1.2,1.4
1,103,Morgan,Alabama,AL,14,"frontier status, population size, poverty, age",40,113740,195,75.2,968.7,18.3,6.9,13.2,24.8,62,11.8,1.4,85.7,11.8,0.7,0.7,4.6
1,107,Pickens,Alabama,AL,76,"frontier status, population size, poverty, age, population density",38,20178,23,73.5,1040.1,20.7,6.6,19.3,26.3,57.6,14.1,2,57.2,42.4,0.1,0.1,0.8
1,109,Pike,Alabama,AL,35,"frontier status, population size, poverty, age",27,29639,44,73.7,1112.5,22,6.7,20.3,25.4,62,11.4,1.2,60.2,36.8,0.6,1,1.6
1,111,Randolph,Alabama,AL,72,"frontier status, population size, poverty, age, population density",32,22717,39,74.9,1000.4,17.3,8.4,15.7,25.1,58.5,14.4,2,76.8,22.1,0.3,0.4,1.3
